tema,zn_vix,types,rasr,title,info,dlit,price,silka,platform
Управление,Junior,Профессия,есть, Профессия Бухгалтер ," Вы с нуля освоите все необходимые навыки для работы бухгалтером. Научитесь вести бухучёт по российским стандартам и работать в 1С, готовить налоговую отчётность и рассчитывать зарплату. Сможете начать карьеру сразу после курса или получить повышение. ", 6 месяцев обучения , 2 581  ₽/мес  ,https://skillbox.ru/course/profession-accountant/,Skillbox
Управление,Junior,Профессия,есть, Профессия Операционный менеджер ," Вы научитесь управлять изменениями, выстраивать бизнес-процессы и эффективную работу отделов компании. Узнаете, как добиться соблюдения дедлайнов и стандартов качества товаров и услуг. Сможете повысить KPI и больше зарабатывать. ", 6 месяцев обучения , 3 300  ₽/мес  ,https://skillbox.ru/course/profession-operation-manager/,Skillbox
Управление,Junior,Профессия,есть, Профессия Финансовый менеджер ," Научитесь работать с финансовой управленческой отчётностью, оптимизировать прибыль и расходы. Углубитесь в финансовый анализ, планирование и бюджетирование. Освоите престижную профессию, сможете повысить квалификацию и продвинуться в карьере. ", 8 месяцев обучения , 2 875  ₽/мес  ,https://skillbox.ru/course/profession-finance-manager/,Skillbox
Управление,Junior,Профессия,есть, Профессия Бизнес-аналитик ," Вы станете незаменимым специалистом для любого бизнеса. Научитесь помогать компаниям в кризис, увеличивать выручку и спасать их от разорения. Соберёте портфолио и сможете зарабатывать уже через полгода после старта курса. ", 6 месяцев обучения , 3 200  ₽/мес  ,https://skillbox.ru/course/profession-business-analyst/,Skillbox
Управление,Junior,Профессия,есть, Профессия Менеджер проектов ," Научитесь управлять бюджетом, сроками и командой, применять Agile-подход, Scrum-фреймворк и методологию Double Diamond. Пополните портфолио сильным кейсом и найдёте высокооплачиваемую работу. ", 6 месяцев обучения , 3 200  ₽/мес  ,https://skillbox.ru/course/profession-project-manager-pro/,Skillbox
Управление,Junior,Профессия,есть, Эффективный руководитель ," Станьте руководителем, которого ценит бизнес и уважает команда! Благодаря курсу вы:— научитесь строить чёткие бизнес-процессы и принимать взвешенные решения;— сможете эффективно руководить распределёнными и удалёнными командами; — будете эффективно распределять ресурсы и находить точки роста. ", 6 месяцев обучения , 2 581  ₽/мес  ,https://skillbox.ru/course/head/,Skillbox
Управление,Junior,Профессия,есть, Профессия Продакт-менеджер ," Вы научитесь создавать, продвигать и развивать прибыльные продукты, которые действительно нужны аудитории. Сможете строить стратегии, считать бюджеты и управлять командой. Соберёте сильное портфолио для старта карьеры. ", 8 месяцев обучения , 3 500  ₽/мес  ,https://skillbox.ru/course/profession-product-manager-pro/,Skillbox
Управление,Junior,Профессия,есть, Профессия Методист с нуля до PRO ," Вы прокачаете навыки в разработке учебных программ для онлайн- и офлайн-курсов. Освоите современные педагогические практики, структурируете опыт и станете более востребованным специалистом. ", 6 месяцев обучения , 4 125  ₽/мес  ,https://skillbox.ru/course/profession-methodist/,Skillbox
Управление,Junior,Профессия,есть, Профессия Экономист-финансист ," Освоите экономическую теорию, разберётесь в финансовом моделировании и анализе. Изучите 3 вида отчётности и научитесь визуализировать показатели компании. Сможете начать карьеру в сфере финансов. ", 7 месяцев обучения , 2 500  ₽/мес  ,https://skillbox.ru/course/profession-economist-financier/,Skillbox
Управление,Junior,Курс,есть, Excel + Google Таблицы с нуля до PRO ," Курс для тех, кто не любит рутину и хочет автоматизировать работу. Научитесь оперативно составлять сложные отчёты и строить прогнозы. Сможете работать в таблицах быстрее с помощью скриптов и макросов. Освободите время для других задач. ", 4 месяца обучения , 1 650  ₽/мес  ,https://skillbox.ru/course/excel-gsheets/,Skillbox
