tema,zn_vix,types,rasr,title,info,dlit,price,silka,platform
Программирование,Junior,Курс,нет,Go Тренажер,"  Курс состоит из практических задач, которые помогут вам освоить основы программирования на языке Go. Вы научитесь работать с переменными, типами данных, условными конструкциями, циклами, функциями в Go. В ходе выполнения задач вы улучшите навыки программирования, научитесь решать практические задачи и целом укрепите",навсегда,499,https://stepik.org/course/175966,Stepik
Программирование,Junior,Курс,нет,Основы Python для исследований и анализа данных,"  Данный курс предназначен для тех, кто никогда не сталкивался с данными или с программированием. Но также он будет полезен для тех, кто занимается исследованиями в социально-гуманитарных дисциплинах.

",навсегда,2000,https://stepik.org/course/114837,Stepik
Программирование,Junior,Курс,нет,Рисунок карандашом - построение лица шаг за шагом,"  Начните с очертания и доведите построение лица до завершения! С нуля вы научитесь рисовать отдельные элементы лица, соединив которые, получится реалистичный портрет!

",навсегда,590,https://stepik.org/course/160871,Stepik
Программирование,Junior,Курс,нет,SQL для аналитика. Используем ClickHouse и BigQuery,"  Приветствуем на курсе ""SQL для аналитика""! Этот курс создан для всех, кто хочет быстро и эффективно овладеть одними из самых популярных языков запросов данных. На примере ClickHouse и BigQuery ведь у них самый широкий синтаксис подходящий для множества SQL систем например PostgreSQL.",навсегда,бесплатно,https://stepik.org/course/177695,Stepik
Программирование,Junior,Курс,нет,Django 4 для начинающих,  Этот курс проведет вас через весь процесс разработки профессиональных веб-приложений с помощью Django и Django REST Framework. Все лекции посвящены объяснению механизмов работы веб-фреймворка Django путем написания нескольких проектов на Python с нуля и последующим их деплоем на сервер.,навсегда,999,https://stepik.org/course/174634,Stepik
Программирование,Junior,Курс,нет,"Pandas, Numpy, Matplotlib - для начинающих.","  Этот курс для тех, кто хочет быстро начать учиться и использовать эти библиотеки. В этом курсе вы узнаете о незаменимых библиотеках Python и научитесь использовать Pandas для работы с данными, Numpy для быстрых научных вычислений и Matplotlib для визуализации данных. ",навсегда,"1,05",https://stepik.org/course/172266,Stepik
Программирование,Junior,Курс,нет,Осваиваем Pandas: введение в анализ данных,"  В этом курсе, который является первой частью большого курса по Pandas вы изучите основы работы с Pandas: Series, DataFrame, научитесь использовать срезы, фильтрацию, математические, статистические функции, сможете уверенно импортировать данные из различных форматов, баз данных, онлайн источников посредством API",навсегда,400,https://stepik.org/course/174774,Stepik
Программирование,Junior,Курс,нет,Старт карьеры в IT. Front-end разработчик сайтов с нуля.,"  В этом пакете из 2-х курсов, вы найдете все для старка карьеры в IT в качестве Front-end web разработчика. Быстрый старт в IT! 

Цена на пакет курсов ниже на 20% чем если бы вы приобретали курсы отдельно.

",навсегда,"3,89",https://stepik.org/course/175308,Stepik
Программирование,Junior,Курс,нет,Базовая аналитика,"  Курс для быстрого старта в маркетинговой аналитике. Вы освоите основы статистики и базовые инструменты: Excel, сводные таблицы, Google Analytics и Яндекс.Метрику. Узнаете, какие метрики отслеживать, как строить и визуализировать отчеты, а также грамотно проверять гипотезы экспериментами.

",навсегда,бесплатно,https://stepik.org/course/170896,Stepik
Программирование,Junior,Курс,нет,Spring Framework: Фундаментальные основы,"  Курс Spring Framework даст вам глубокое понимание, как работает spring под капотом. 
Сочетание теории и практики поможет вам еще лучше понять тему. Есть даже материалы для самостоятельного изучения. Успешно пройдите курс и получите сертификат.

",навсегда,499,https://stepik.org/course/138316,Stepik
