tema,zn_vix,types,rasr,title,info,dlit,price,silka,platform
Программирование,Junior,Курс,есть,Разработчик: старт в ИТ с нуля до Junior,"Станьте востребованным разработчиком. Вы изучите основы программирования и основные концепции компьютерных наук, цифровые технологии, операционные системы, программное обеспечение, базы данных, системы аналитики, языки программирования и многое другое. Познакомитесь с тестированием и системным анализом. На программе сможете сделать осознанный выбор специализации и технологий, прокачаться в выбранном направлении.",Длительность: 12 месяцев по 12 часов в неделю,от 2701 ₽,https://gb.ru/geek_university/developer,GeekBrains
Программирование,Middle,Курс,есть,Разработчик: старт в ИТ с нуля до Middle,"Станьте ИТ-инженером и получите одну из самых востребованных профессий в IT. Вы изучите основы программирования и основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое. Познакомитесь с тестированием и системным анализом информационных технологий. На программе сможете сделать осознанный выбор специализации и технологий, прокачаться в выбранном направлении. В пакете Мастер вы получаете возможность углубленно изучить технологическую специализацию с экспертной поддержкой.",Длительность: 24 месяца по 12 часов в неделю,от 3948 ₽,https://gb.ru/geek_university/developer/engineer/it-master,GeekBrains
Программирование,Middle+,Курс,есть,Разработчик: старт в ИТ с нуля до Pro,"Станьте ИТ-инженером и получите одну из самых востребованных профессий. Вы изучите основы программирования и основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое. Познакомитесь с тестированием и системным анализом информационных технологий. На программе сможете сделать осознанный выбор специализации и технологий, прокачаться в выбранном направлении. В пакете PRO вы получаете возможность углубленно изучить технологическую специализацию и отрасль с экспертной поддержкой.",Длительность: 36 месяцев по 12 часов в неделю,от 5800 ₽,https://gb.ru/geek_university/developer/engineer/it-pro,GeekBrains
Программирование,Junior,Курс,есть,Программист с нуля до Junior,"Станьте востребованным инженером-программистом и получите одну из самых востребованных профессий в IT. Вы изучите основы программирования и основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое. Вы так же познакомитесь с тестированием и системным анализом информационных технологий. На программе сможете сделать осознанный выбор специализации и технологий, прокачаться в выбранном направлении.",Длительность: 12 месяцев по 12 часов в неделю,от 2701 ₽,https://gb.ru/geek_university/developer/programmer,GeekBrains
Программирование,Middle,Курс,есть,Программист с нуля до Middle,"Станьте востребованным инженером-программистом и получите одну из самых востребованных профессий в IT. Вы изучите основы программирования и основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое. Познакомитесь с тестированием и системным анализом информационных технологий. На программе сможете сделать осознанный выбор специализации и технологий, прокачаться в выбранном направлении. В пакете Мастер вы получаете возможность углубленно изучить технологическую специализацию с экспертной поддержкой.",Длительность: 24 месяца по 12 часов в неделю,от 3948 ₽,https://gb.ru/geek_university/developer/programmer/master,GeekBrains
Программирование,Middle+,Курс,есть,Программист с нуля до Pro,"Станьте инженером-программистом и получите одну из самых востребованных профессий. Вы изучите основы программирования и основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое. Познакомитесь с тестированием и системным анализом. информационных технологий. На программе сможете сделать осознанный выбор специализации и технологий, прокачаться в выбранном направлении. В пакете PRO вы получаете возможность углубленно изучить технологическую специализацию и отрасль с экспертной поддержкой.",Длительность: 36 месяцев по 12 часов в неделю,от 5800 ₽,https://gb.ru/geek_university/developer/programmer/pro,GeekBrains
Программирование,Junior,Курс,есть,Блокчейн-разработчик,"— Станьте блокчейн-разработчиком с нуля — Вы изучите Solidity, JavaScript и его расширение ECMAScript, пройдете основы информационной безопасности и криптографии — На практике научитесь работать с базами данных, SQL и Linux — В результате станете квалифицированным блокчейн-разработчиком и сможете гарантированно трудоустроиться",Длительность: 9 месяцев по 12 часов в неделю,от 2209 ₽,https://gb.ru/geek_university/developer/programmer/blockchain-spec,GeekBrains
Программирование,Junior,Курс,есть,Разработчик умных устройств,"Станьте специалистом в сфере интернета вещей - Internet of things (IoT) - с нуля и создайте сеть умных гаджетов. Изучите язык C, механизмы отладки и программирования микроконтроллеров (STM32, Arduino). Вы получите опыт работы с технологиями Wi-Fi, Bluetooth и LoRa для построения современных встраиваемых систем.",Длительность: 9 месяцев по 12 часов в неделю,от 2209 ₽,https://gb.ru/geek_university/developer/programmer/internet-of-things,GeekBrains
Программирование,Junior,Курс,есть,Frontend-разработчик: быстрый старт в профессии,"Станьте Frontend-разработчиком, который специализируется на внешнем оформлении сайтов. Вы получите базовые знания и на практике научитесь создавать сайты и приложения, проектировать интерфейсы и работать со сложными инструментами frontend-разработчика. Изучите фреймворки и библиотеки, которые упростят вашу работу. Через 9 месяцев обучения вы сможете трудоустроиться.",Длительность: 9 месяцев по 12 часов в неделю,от 2209 ₽,https://gb.ru/geek_university/developer/programmer/frontend,GeekBrains
Программирование,Middle,Курс,есть,Frontend-разработчик с нуля до Middle,"Станьте Frontend-разработчиком, который специализируется на внешнем оформлении сайтов. Вы получите базовые знания и на практике научитесь создавать сайты и приложения, проектировать интерфейсы и работать со сложными инструментами frontend-разработчика. Изучите фреймворки и библиотеки, которые упростят вашу работу. Через 9 месяцев обучения вы сможете трудоустроиться. В пакете Мастер вы получаете возможность углубленно изучить технологическую специализацию с экспертной поддержкой.",Длительность: 24 месяца по 12 часов в неделю,от 3948 ₽,https://gb.ru/geek_university/developer/programmer/frontend/master,GeekBrains
