tema,zn_vix,types,rasr,title,info,dlit,price,silka,platform
Программирование,Middle,Курс,нет,PRO C#. Подготовка к собеседованиям,"  Разберетесь со всеми психологическими, теоретическими и практическими вопросами и получите свой долгожданный оффер. Вы будете выбирать работодателя, а не он вас. В курсе собрана огромная база вопросов: более 200 тестовых заданий, более 300 вопросов с технических собеседований.

",навсегда,24990,https://stepik.org/course/87925,Stepik
Программирование,Middle,Курс,нет,Графы для программистов,"  Познакомитесь с популярными и реально используемыми алгоритмами на графах. Узнаете какие прикладные задачи можно решать с помощью теории графов и как это делать оптимально. Научитесь использовать полученные знания в своих проектах.  

",навсегда,7990,https://stepik.org/course/68315,Stepik
Программирование,Middle,Курс,нет,Инструменты разработчика,"  Освойте множество крутых инструментов в одном курсе и станьте профессионалом! Контроль версий, сборка и многое другое.

",навсегда,1750,https://stepik.org/course/114174,Stepik
Программирование,Middle,Курс,нет,Паттерны проектирования GoF на Dart,"  Курс даёт всеобъемлющий обзор паттернов (шаблонов) проектирования из книги ""банды четырёх"" на языке программировании Dart. Каждый из рассматриваемых паттернов проектирования может быть адаптирован для использования при разработке приложений на Flutter.

",навсегда,1499,https://stepik.org/course/105448,Stepik
Программирование,Middle,Курс,нет,ProgMine. Большой курс по программированию на Python в Minecraft,"  Данный курс разработан специально для обучения на «виртуальном сервере» проекта «ProgMine». Вас ждёт много интересных заданий при выполнении которых Вы станете настоящим программистом.

",навсегда,1500,https://stepik.org/course/123284,Stepik
Программирование,Middle,Курс,нет,C# WPF. Создание оконного приложения,"  Этот курс посвящен созданию оконного десктоп приложения на технологии .NET.

Язык программирования C#, интерфейс верстается на XAML.

",навсегда,7000,https://stepik.org/course/108281,Stepik
Программирование,Middle,Курс,нет,Работа с файлами в Python,"  Вы можете ответить, с каким флагом лучше открывать файл? Чем отличается rt+ от ab+? Что такое файловый поток и когда нужно пользоваться библиотекой io? Как рекурсивно прочитать содержимое всех файлов в дереве папок? Как правильно работать с файловой системой? Почему нужно валидировать файлы и в каких случаях нужно…

  
    More
  
",навсегда,1490,https://stepik.org/course/132196,Stepik
Программирование,Middle,Курс,нет,Быстро пишем API на Python с FastAPI,"  В данном курсе вы создадите собственный API на самом быстром, простом и удобном фреймворке FastAPI. Научитесь взаимодействовать с вашим API  с помощью биткоин-бота в Телеграме, для генерации кошельков, запросов баланса и переводов.

Также вы научитесь работать с базами данных с помощью PonyORM и освоите работу с…

  
    More
  
",навсегда,бесплатно,https://stepik.org/course/119770,Stepik
Программирование,Middle,Курс,нет,WEB Парсинг на Python,"  🥇Победитель Stepik Awards 2022 в номинации ""Прорыв года""
Практический курс синхронного и асинхронного веб-парсинга / скрапинга, потренируетесь собирать информацию c веб-cайтов и Telegram чатов, а в модуле Selenium научитесь автоматизировать действия в браузере, и обходить капчу. 
За дополнительной скидкой 10%…

  
    More
  
",навсегда,3500,https://stepik.org/course/104774,Stepik
Программирование,Middle,Курс,нет,Объектно-ориентированное программирование на Python,"  Курс позволит изучить тему ООП и повысить свой уровень владения Python

Данный курс является логическим продолжением моего курса, посвященному основам программирования на Python

Без знания основ Python данный курс будет сложен для усвоения.

",навсегда,2490,https://stepik.org/course/114354,Stepik
