tema,zn_vix,types,rasr,title,info,dlit,price,silka,platform
Программирование,Junior,Профессия,есть, Профессия Python-разработчик ," На Python пишут веб-приложения и нейросети, проводят научные вычисления и автоматизируют процессы. Язык просто выучить, даже если вы никогда не программировали. На курсе вы создадите Telegram-бота, полноценный магазин и аналог популярной соцсети для портфолио, а Центр карьеры поможет найти работу Python-разработчиком. ", 10 месяцев обучения , 3 059  ₽/мес  ,https://skillbox.ru/course/profession-python/,Skillbox
Программирование,Junior,Профессия,есть, Профессия Java-разработчик ," Вы с нуля научитесь программировать на языке Java и создавать веб-приложения на фреймворке Spring. За полгода получите фундаментальные навыки и соберёте портфолио, а мы поможем найти работу. ", 6 месяцев обучения , 2 618  ₽/мес  ,https://skillbox.ru/course/profession-java/,Skillbox
Программирование,Junior,Профессия,есть, Профессия Инженер по тестированию ," Вы научитесь находить ошибки в работе сайтов и приложений с помощью Java, JavaScript или Python. С первого занятия погрузитесь в практику и сможете начать зарабатывать уже через 4 месяца. ", 7 месяцев обучения , 3 161  ₽/мес  ,https://skillbox.ru/course/profession-test/,Skillbox
Программирование,Junior,Профессия,есть, Data Scientist с нуля до Junior ," Освойте data science с нуля. Вы попробуете силы в аналитике данных, машинном обучении, дата-инженерии и подробно изучите направление, которое нравится вам больше. Отточите навыки на реальных проектах и станете востребованным специалистом. ", 9 месяцев обучения , 4 159  ₽/мес  ,https://skillbox.ru/course/paket-data-scientist-0-junior/,Skillbox
Программирование,Junior,Профессия,есть, Профессия Веб-разработчик ," Веб-разработчик создаёт сайты, сервисы и приложения, которыми мы ежедневно пользуемся. Он разрабатывает интернет-магазины, онлайн-банки, поисковики, карты и почтовые клиенты. Веб-разработчик проектирует внешний вид сайта — фронтенд и программирует сервисную часть — бэкенд. ", 9 месяцев обучения , 3 794  ₽/мес  ,https://skillbox.ru/course/profession-webdev/,Skillbox
Программирование,Junior,Профессия,есть, Профессия Data Scientist ," Освойте Data Science с нуля. Вы попробуете силы в аналитике данных, машинном обучении, дата-инженерии и подробно изучите направление, которое нравится вам больше. Отточите навыки на реальных проектах и станете востребованным специалистом. ", 12 месяцев обучения , 4 516  ₽/мес  ,https://skillbox.ru/course/profession-data-scientist/,Skillbox
Программирование,Junior,Профессия,есть, Профессия 1С-разработчик ," Вы научитесь решать кадровые, бухгалтерские и бизнес-задачи с помощью разработки. Сможете работать в самой популярной программе для автоматизации бизнеса — «1С:Предприятии».Курс подойдёт вам, даже если вы раньше не программировали. Получите индивидуальную поддержку от проверяющего эксперта и найдёте работу — или мы вернём деньги*. ", 6 месяцев обучения , 2 618  ₽/мес  ,https://skillbox.ru/course/profession-1c/,Skillbox
Программирование,Junior,Профессия,есть, Профессия Java-developer PRO ," Вы с нуля освоите востребованный язык программирования, научитесь создавать качественные приложения под разные платформы и станете ценным Java-специалистом уровня middle. ", 12 месяцев обучения , 3 871  ₽/мес  ,https://skillbox.ru/course/java-dev/,Skillbox
Программирование,Junior,Профессия,есть, Профессия Fullstack-разработчик ," Fullstack-разработчик разрабатывает сайты: и ту часть, которая видна пользователю (frontend) и ту, что остается под капотом (backend).На курсе вы с нуля научитесь создавать сайты «под ключ» на языках PHP, Python или JavaScript. Сможете начать карьеру fullstack-специалиста в IT-студии или на фрилансе. Выйдете на новый уровень в веб-разработке. ", 10 месяцев обучения , 2 912  ₽/мес  ,https://skillbox.ru/course/profession-fullstack-dev/,Skillbox
Программирование,Junior,Курс,есть, Python ," На Python создают веб-приложения и нейросети, проводят научные вычисления и автоматизируют процессы. Вы научитесь программировать на востребованном языке с нуля, напишете Telegram-бота для турагентства и сможете начать карьеру в разработке. ", 4 месяца обучения , 4 278  ₽/мес  ,https://skillbox.ru/course/python-basic/,Skillbox
Программирование,Junior,Курс,есть, Java-разработчик ," Вы научитесь писать код и создавать сайты на самом популярном языке программирования. Разработаете блог, добавите сильный проект в портфолио и станете Java-программистом, которому рады в любой студии разработки. ", 4 месяца обучения , 5 657  ₽/мес  ,https://skillbox.ru/course/java/,Skillbox
Программирование,Junior,Курс,есть, Power BI ," Освойте инструмент для бизнес-анализа и создания интерактивных отчётов. Вы научитесь строить графики и дашборды, оценивать метрики без помощи программистов. Будете всегда в курсе статистики компании. Сможете построить систему сквозной аналитики, чтобы эффективно решать бизнес-задачи. ", 2 месяца обучения , 5 325  ₽/мес  ,https://skillbox.ru/course/powerbi/,Skillbox
Программирование,Junior,Курс,есть, SQL-разработчик ," Вы освоите язык запросов SQL и его процедурное расширение PL/SQL. Научитесь собирать, обрабатывать и предоставлять данные для анализа, сможете визуализировать информацию и поймёте, как использовать и настраивать свои базы данных для различных задач. ", 2 месяца обучения , 4 295  ₽/мес  ,https://skillbox.ru/course/sql-developer/,Skillbox
Программирование,Junior,Курс,есть, SQL для анализа данных ," Курс для тех, кому нужно работать с базами данных. Вы освоите язык запросов SQL  и с его помощью сможете самостоятельно получать нужные данные, сопоставлять и анализировать их. ", 2 месяца обучения , 6 152  ₽/мес  ,https://skillbox.ru/course/sql-analysis/,Skillbox
Программирование,Junior,Курс,есть, Веб-разработчик с нуля до PRO ," Вы научитесь верстать сайты на HTML и CSS, изучите JavaScript. Сможете разрабатывать на PHP серверную часть сайта  и сделаете первые проекты для портфолио. ", 9 месяцев обучения , 6 220  ₽/мес  ,https://skillbox.ru/course/webdev/,Skillbox
Программирование,Junior,Курс,есть, Power BI PRO ," Освойте на продвинутом уровне инструмент для бизнес-анализа и создания интерактивных отчётов.Вы научитесь превращать массивы данных в понятные дашборды, сможете оценивать метрики без помощи программистов. Будете всегда в курсе статистики компании. Сможете построить систему сквозной аналитики, чтобы эффективно решать бизнес-задачи. ", 3 месяца обучения , 4 018  ₽/мес  ,https://skillbox.ru/course/power-bi-pro/,Skillbox
Программирование,Junior,Курс,есть, Автоматизиро­ван­ное тестирование на Java ," Вы научитесь программировать на Java, работать с фреймворками Maven и JUnit, тестировать пользовательские интерфейсы и настраивать CI. Соберёте мощное портфолио, повысите уровень мастерства и сможете претендовать на повышение или работу в крупной IT-компании. ", 2 месяца обучения , 2 500  ₽/мес  ,https://skillbox.ru/course/autotesting-java/,Skillbox
